ICD-O Code	Level	Term Type	Term Type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT string (Preferred term)
9659/3	Synonym	SY	Synonym	Hodgkin lymphoma, lymphocyte predominance, nodular	C1334968	C7258	Nodular Lymphocyte Predominant Hodgkin Lymphoma
9661/3	4	OP	Obsolete preferred term	Hodgkin granuloma	C0334626	C6914	Hodgkin's Granuloma
9662/3	4	OP	Obsolete preferred term	Hodgkin sarcoma	C0019829	C9357	Hodgkin Lymphoma
9663/3	4	PT	Preferred term	Hodgkin lymphoma, nodular sclerosis, NOS	C0152268	C3518	Nodular Sclerosis Classical Hodgkin Lymphoma
9663/3	Synonym	SY	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, NOS	C0152268	C3518	Nodular Sclerosis Classical Hodgkin Lymphoma
9663/3	Synonym	SY	Synonym	Hodgkin disease, nodular sclerosis, NOS	C0152268	C3518	Nodular Sclerosis Classical Hodgkin Lymphoma
9664/3	4	PT	Preferred term	Hodgkin lymphoma, nodular sclerosis, cellular phase	C0334627	C67171	Nodular Sclerosis Classical Hodgkin Lymphoma, Cellular Phase
9664/3	Synonym	SY	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, cellular phase	C0334627	C67171	Nodular Sclerosis Classical Hodgkin Lymphoma, Cellular Phase
9665/3	4	PT	Preferred term	Hodgkin lymphoma, nodular sclerosis, grade 1	C1521899	C7165	Grade 1 Nodular Sclerosis Classical Hodgkin Lymphoma
9665/3	Synonym	SY	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, grade 1	C1521899	C7165	Grade 1 Nodular Sclerosis Classical Hodgkin Lymphoma
9665/3	Synonym	SY	Synonym	Hodgkin disease, nodular sclerosis, lymphocyte predominance	C1264183	C27270	Hodgkin's Disease, Nodular Sclerosis, Lymphocyte Predominance
9665/3	Synonym	SY	Synonym	Hodgkin disease, nodular sclerosis, mixed cellularity	C0334629	C27098	Hodgkin's Disease, Nodular Sclerosis, Mixed Cellularity
9667/3	4	PT	Preferred term	Hodgkin lymphoma, nodular sclerosis, grade 2	CL448834	C7166	Grade 2 Nodular Sclerosis Classical Hodgkin Lymphoma
9667/3	Synonym	SY	Synonym	Classical Hodgkin lymphoma, nodular sclerosis, grade 2	CL448834	C7166	Grade 2 Nodular Sclerosis Classical Hodgkin Lymphoma
9667/3	Synonym	SY	Synonym	Hodgkin disease, nodular sclerosis, lymphocyte depletion	C0334630	C27808	Hodgkin's Disease, Nodular Sclerosis, Lymphocyte Depletion
9667/3	Synonym	SY	Synonym	Hodgkin disease, nodular sclerosis, syncytial variant	CL054962	C27807	Nodular Sclerosis Classical Hodgkin Lymphoma, Syncytial Variant
967-972	3	HT	Hierarchical term	Non-hodgkin lymphomas	C0024305	C3211	Non-Hodgkin Lymphoma
967-969	3	HT	Hierarchical term	Mature B-cell lymphomas	C1334634	C7056	Mature B-Cell Non-Hodgkin Lymphoma
9670/3	4	PT	Preferred term	Malignant lymphoma, small B lymphocytic, NOS	C0855095	C7540	Small Lymphocytic Lymphoma
9670/3	Synonym	SY	Synonym	Malignant lymphoma, lymphocytic, NOS	C0855095	C7540	Small Lymphocytic Lymphoma
9670/3	Synonym	SY	Synonym	Malignant lymphoma, lymphocytic, diffuse, NOS	C0855095	C7540	Small Lymphocytic Lymphoma
9670/3	Synonym	SY	Synonym	Malignant lymphoma, lymphocytic, well differentiated, diffuse	C0855095	C7540	Small Lymphocytic Lymphoma
9670/3	Synonym	SY	Synonym	Malignant lymphoma, small cell diffuse	C0855095	C7540	Small Lymphocytic Lymphoma
9670/3	Synonym	SY	Synonym	Malignant lymphoma, small cell, NOS	C0855095	C7540	Small Lymphocytic Lymphoma
9670/3	Synonym	SY	Synonym	Malignant lymphoma, small lymphocytic, NOS	C0855095	C7540	Small Lymphocytic Lymphoma
9670/3	Synonym	SY	Synonym	Malignant lymphoma, small lymphocytic, diffuse	C0855095	C7540	Small Lymphocytic Lymphoma
9671/3	4	PT	Preferred term	Malignant lymphoma, lymphoplasmacytic	C0334633	C3212	Lymphoplasmacytic Lymphoma
9671/3	Related	ORT	Obsolete related term	Immunocytoma	C0242647	C3898	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
9671/3	Related	ORT	Obsolete related term	Malignant lymphoma, plasmacytoid	C0334633	C3212	Lymphoplasmacytic Lymphoma
9671/3	Related	ORT	Obsolete related term	Plasmacytic lymphoma	C0334633	C3212	Lymphoplasmacytic Lymphoma
9671/3	Synonym	SY	Synonym	Malignant lymphoma, lymphoplasmacytoid	C0334633	C3212	Lymphoplasmacytic Lymphoma
9673/3	4	PT	Preferred term	Mantle cell lymphoma	C0334634	C4337	Mantle Cell Lymphoma
9673/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, centrocytic	C0334635		
9673/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	C0334634	C4337	Mantle Cell Lymphoma
9673/3	Synonym	IS	Inactive (obsolete) synonym	Mantle zone lymphoma	C0334634	C4337	Mantle Cell Lymphoma
9673/3	Synonym	SY	Synonym	Malignant lymphomatous polyposis	C0334638	C4339	Multifocal Lymphomatous Polyposis
9675/3	4	OP	Obsolete preferred term	Malignant lymphoma, mixed small and large cell, diffuse	C0334636		
9675/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, centroblastic- centrocytic, NOS	C0334637	C4338	Diffuse Centroblastic-Centrocytic Lymphoma
9675/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, centroblastic- centrocytic, diffuse	C0334637	C4338	Diffuse Centroblastic-Centrocytic Lymphoma
9675/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, mixed cell type, diffuse	C0334636		
9675/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, mixed lymphocytic-histiocytic, diffuse	C0334636		
9678/3	4	PT	Preferred term	Primary effusion lymphoma	C1292753	C6915	Primary Effusion Lymphoma
9679/3	4	PT	Preferred term	Mediastinal large B-cell lymphoma	C1292754	C9280	Mediastinal (Thymic) Large B-Cell Lymphoma
9679/3	Synonym	SY	Synonym	Thymic large B-cell lymphoma	C1292754	C9280	Mediastinal (Thymic) Large B-Cell Lymphoma
9680/3	4	PT	Preferred term	Malignant lymphoma, large B-cell, diffuse, NOS	C0079744	C8851	Diffuse Large B-Cell Lymphoma
9680/3	Related	RT	Related term	Anaplastic large B-cell lymphoma	C1321546	C6916	Anaplastic Lymphoma
9680/3	Related	RT	Related term	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma	C2698294	C80291	B-Cell Lymphoma, Unclassifiable, with Features Intermediate between Diffuse Large B-Cell Lymphoma and Burkitt Lymphoma
9680/3	Related	RT	Related term	Diffuse large B-cell lymphoma associated with chronic inflammation	C2699776	C80289	Diffuse Large B-Cell Lymphoma Associated with Chronic Inflammation
9680/3	Related	RT	Related term	EBV positive diffuse large B-cell lymphoma of the elderly	C2700007	C80281	Epstein-Barr Virus Positive Diffuse Large B-Cell Lymphoma of the Elderly
9680/3	Related	RT	Related term	Intravascular large B-cell lymphoma	C0334660	C4342	Intravascular Large B-Cell Lymphoma
9680/3	Related	RT	Related term	Malignant lymphoma, centroblastic, NOS	C0302329	C4074	Centroblastic Lymphoma
9680/3	Related	RT	Related term	Malignant lymphoma, centroblastic, diffuse	C0302329	C4074	Centroblastic Lymphoma
9680/3	Related	RT	Related term	Primary cutaneous DLBCL, leg type	CL497927		
9680/3	Related	RT	Related term	Primary diffuse large B-cell lymphoma of the CNS	CL497928		
9680/3	Related	RT	Related term	T-cell rich large B-cell lymphoma	C1321547	C9496	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma
9680/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, histiocytic, NOS	C0079744	C8851	Diffuse Large B-Cell Lymphoma
9680/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, large cell, cleaved and noncleaved	C0079744	C8851	Diffuse Large B-Cell Lymphoma
9680/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, large cell, cleaved, NOS	C0334641	C27265	Malignant Lymphoma, Large Cell, Cleaved
9680/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, large cell, diffuse, NOS	C0079744	C8851	Diffuse Large B-Cell Lymphoma
9680/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, large cleaved cell, NOS	C0334641	C27265	Malignant Lymphoma, Large Cell, Cleaved
9680/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, noncleaved, diffuse, NOS	C0334642	C27266	Malignant Lymphoma, Non-Cleaved, Diffuse
9680/3	Synonym	SY	Synonym	Angioendotheliomatosis	C0334660	C4342	Intravascular Large B-Cell Lymphoma
9680/3	Synonym	SY	Synonym	Angiotropic lymphoma	C0334660	C4342	Intravascular Large B-Cell Lymphoma
9680/3	Synonym	SY	Synonym	Diffuse large B-cell lymphoma, NOS	C0079744	C8851	Diffuse Large B-Cell Lymphoma
9680/3	Synonym	SY	Synonym	Histiocyte-rich large B-cell lymphoma	C1321547	C9496	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma
9680/3	Synonym	SY	Synonym	Intravascular B-cell lymphoma	C0334660	C4342	Intravascular Large B-Cell Lymphoma
9680/3	Synonym	SY	Synonym	Malignant lymphoma, histiocytic, diffuse	C1521844	C27099	Malignant Lymphoma, Histiocytic, Diffuse
9680/3	Synonym	SY	Synonym	Malignant lymphoma, large B-cell, NOS	C0079744	C8851	Diffuse Large B-Cell Lymphoma
9680/3	Synonym	SY	Synonym	Malignant lymphoma, large B-cell, diffuse, centroblastic, NOS	C0302329	C4074	Centroblastic Lymphoma
9680/3	Synonym	SY	Synonym	Malignant lymphoma, large cell, NOS	C1518189	C27823	Malignant Lymphoma, Large Cell Type
9680/3	Synonym	SY	Synonym	Malignant lymphoma, large cell, cleaved, diffuse	C0334641	C27265	Malignant Lymphoma, Large Cell, Cleaved
9680/3	Synonym	SY	Synonym	Malignant lymphoma, large cell, noncleaved, NOS	C0334642	C27266	Malignant Lymphoma, Non-Cleaved, Diffuse
9680/3	Synonym	SY	Synonym	Malignant lymphoma, large cell, noncleaved, diffuse	C0334642	C27266	Malignant Lymphoma, Non-Cleaved, Diffuse
9680/3	Synonym	SY	Synonym	Malignant lymphoma, noncleaved, NOS	C0334642	C27266	Malignant Lymphoma, Non-Cleaved, Diffuse
9684/3	4	PT	Preferred term	Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS	C0079746	C3461	Immunoblastic Lymphoma
9684/3	Synonym	IS	Inactive (obsolete) synonym	Immunoblastic sarcoma	C0079746	C3461	Immunoblastic Lymphoma
9684/3	Synonym	SY	Synonym	Malignant lymphoma, immunoblastic, NOS	C0079746	C3461	Immunoblastic Lymphoma
9684/3	Synonym	SY	Synonym	Malignant lymphoma, large cell, immunoblastic	C0079746	C3461	Immunoblastic Lymphoma
9687/3	4	PT	Preferred term	Burkitt lymphoma, NOS	C0006413	C2912	Burkitt Lymphoma
9687/3	Related	RT	Related term	Burkitt-like lymphoma	C1368771	C6917	Atypical Burkitt/Burkitt-Like Lymphoma
9687/3	Synonym	IS	Inactive (obsolete) synonym	Burkitt tumor	C0006413	C2912	Burkitt Lymphoma
9687/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, small noncleaved, Burkitt type	C0006413	C2912	Burkitt Lymphoma
9687/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, undifferentiated, Burkitt type	C0006413	C2912	Burkitt Lymphoma
9688/3	4	PT	Preferred term	T-cell/histiocyte rich large B-cell lymphoma	C1321547	C9496	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma
9689/3	4	PT	Preferred term	Splenic marginal zone B-cell lymphoma	C0349632	C4663	Splenic Marginal Zone Lymphoma
9689/3	Synonym	SY	Synonym	Splenic lymphoma with villous lymphocytes	CL109696		
9689/3	Synonym	SY	Synonym	Splenic marginal zone lymphoma, NOS	C0349632	C4663	Splenic Marginal Zone Lymphoma
9690/3	4	PT	Preferred term	Follicular lymphoma, NOS	C0024301	C3209	Follicular Lymphoma
9690/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, centroblastic- centrocytic, follicular	C0024301	C3209	Follicular Lymphoma
9690/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, lymphocytic, nodular, NOS	C0024301	C3209	Follicular Lymphoma
9690/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, nodular, NOS	C0024301	C3209	Follicular Lymphoma
9690/3	Synonym	SY	Synonym	Malignant lymphoma, follicle center, NOS	C0024301	C3209	Follicular Lymphoma
9690/3	Synonym	SY	Synonym	Malignant lymphoma, follicle center, follicular	C0024301	C3209	Follicular Lymphoma
9690/3	Synonym	SY	Synonym	Malignant lymphoma, follicular, NOS	C0024301	C3209	Follicular Lymphoma
9691/3	4	PT	Preferred term	Follicular lymphoma, grade 2	C0079758	C8968	Grade 2 Follicular Lymphoma
9691/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, mixed cell type, follicular	C0079758	C8968	Grade 2 Follicular Lymphoma
9691/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, mixed cell type, nodular	C0079758	C8968	Grade 2 Follicular Lymphoma
9691/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, mixed lymphocytic-histiocytic, nodular	C0079758	C8968	Grade 2 Follicular Lymphoma
9691/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, mixed small cleaved and large cell, follicular	C0079758	C8968	Grade 2 Follicular Lymphoma
9695/3	4	PT	Preferred term	Follicular lymphoma, grade 1	C0079765	C3465	Grade 1 Follicular Lymphoma
9695/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, lymphocytic, poorly differentiated, nodular	C0079765	C3465	Grade 1 Follicular Lymphoma
9695/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, small cleaved cell, follicular	C0079765	C3465	Grade 1 Follicular Lymphoma
9695/3	Synonym	SY	Synonym	Follicular lymphoma, small cleaved cell	C0079765	C3465	Grade 1 Follicular Lymphoma
9698/3	4	PT	Preferred term	Follicular lymphoma, grade 3	C0079745	C3460	Grade 3 Follicular Lymphoma
9698/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, histiocytic, nodular	C0079745	C3460	Grade 3 Follicular Lymphoma
9698/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, large cell, noncleaved, follicular	C0079745	C3460	Grade 3 Follicular Lymphoma
9698/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, large cleaved cell, follicular	C0079745	C3460	Grade 3 Follicular Lymphoma
9698/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, lymphocytic, well differentiated, nodular	C0334648		
9698/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, noncleaved cell, follicular, NOS	CL497929		
9698/3	Synonym	SY	Synonym	Follicular lymphoma, grade 3A	C1333846	C7191	Grade 3a Follicular Lymphoma
9698/3	Synonym	SY	Synonym	Follicular lymphoma, grade 3B	C2853827	C7192	Grade 3b Follicular Lymphoma
9698/3	Synonym	SY	Synonym	Malignant lymphoma, centroblastic, follicular	C0862984	C8994	Malignant Lymphoma Centroblastic, Follicular
9698/3	Synonym	SY	Synonym	Malignant lymphoma, large cell, follicular, NOS	C0079745	C3460	Grade 3 Follicular Lymphoma
9699/3	4	PT	Preferred term	Marginal zone B-cell lymphoma, NOS	C1367654	C4341	Marginal Zone Lymphoma
9699/3	Related	RT	Related term	Extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue	C0242647	C3898	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
9699/3	Synonym	SY	Synonym	BALT lymphoma	C1367652	C5264	Bronchial Mucosa-Associated Lymphoid Tissue Lymphoma
9699/3	Synonym	SY	Synonym	Bronchial-associated lymphoid tissue lymphoma	C1367652	C5264	Bronchial Mucosa-Associated Lymphoid Tissue Lymphoma
9699/3	Synonym	SY	Synonym	MALT lymphoma	C0242647	C3898	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
9699/3	Synonym	SY	Synonym	Marginal zone lymphoma, NOS	C1367654	C4341	Marginal Zone Lymphoma
9699/3	Synonym	SY	Synonym	Monocytoid B-cell lymphoma	C0855139	C8863	Nodal Marginal Zone Lymphoma
9699/3	Synonym	SY	Synonym	Mucosal-associated lymphoid tissue lymphoma	C0242647	C3898	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
9699/3	Synonym	SY	Synonym	Nodal marginal zone lymphoma	C0855139	C8863	Nodal Marginal Zone Lymphoma
9699/3	Synonym	SY	Synonym	SALT lymphoma	C1275321	C7230	Primary Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
9699/3	Synonym	SY	Synonym	Skin-associated lymphoid tissue lymphoma	C1275321	C7230	Primary Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
970-971	3	HT	Hierarchical term	Mature T- and NK-cell lymphomas	C0079774	C3468	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma
9700/3	4	PT	Preferred term	Mycosis fungoides	C0026948	C3246	Mycosis Fungoides
9700/3	Synonym	SY	Synonym	Pagetoid reticulosis	C1367970	C35794	Pagetoid Reticulosis
9701/3	4	PT	Preferred term	Sezary syndrome	C0036920	C3366	Sezary Syndrome
9701/3	Synonym	SY	Synonym	Sezary disease	C0036920	C3366	Sezary Syndrome
9702/3	4	PT	Preferred term	Mature T-cell lymphoma, NOS	C2853959	C4340	Peripheral T-Cell Lymphoma, Not Otherwise Specified
9702/3	Related	RT	Related term	Anaplastic large cell lymphoma, ALK negative	C1332078	C37194	Anaplastic Large Cell Lymphoma, ALK-Negative
9702/3	Related	RT	Related term	Lymphoepithelioid lymphoma	C1621719	C7205	Lymphoepithelioid Variant Peripheral T-Cell Lymphoma
9702/3	Synonym	SY	Synonym	Lennert lymphoma	C1621719	C7205	Lymphoepithelioid Variant Peripheral T-Cell Lymphoma
9702/3	Synonym	SY	Synonym	Peripheral T-cell lymphoma, NOS	C2853959	C4340	Peripheral T-Cell Lymphoma, Not Otherwise Specified
9702/3	Synonym	SY	Synonym	Peripheral T-cell lymphoma, large cell	C1337079	C27352	Peripheral T-Cell Lymphoma, Large Cell
9702/3	Synonym	SY	Synonym	Peripheral T-cell lymphoma, pleomorphic medium and large cell	C1337074		
9702/3	Synonym	SY	Synonym	Peripheral T-cell lymphoma, pleomorphic small cell	C1337073		
9702/3	Synonym	SY	Synonym	T-cell lymphoma, NOS	C0079772	C3466	T-Cell Non-Hodgkin Lymphoma
9702/3	Synonym	SY	Synonym	T-zone lymphoma	C0334655	C7204	T-Zone Variant Peripheral T-Cell Lymphoma
9705/3	4	PT	Preferred term	Angioimmunoblastic T-cell lymphoma	C0020981	C7528	Angioimmunoblastic T-Cell Lymphoma
9705/3	Synonym	IS	Inactive (obsolete) synonym	Angioimmunoblastic lymphoma	C0020981	C7528	Angioimmunoblastic T-Cell Lymphoma
9705/3	Synonym	IS	Inactive (obsolete) synonym	Peripheral T-cell lymphoma, AILD (Angioimmunoblastic Lymphadenopathy with Dysproteinemia)	C0020981	C7528	Angioimmunoblastic T-Cell Lymphoma
9708/3	4	PT	Preferred term	Subcutaneous panniculitis-like T-cell lymphoma	C0522624	C6918	Subcutaneous Panniculitis-Like T-Cell Lymphoma
9709/3	4	PT	Preferred term	Cutaneous T-cell lymphoma, NOS	C0079773	C3467	Cutaneous T-Cell Non-Hodgkin Lymphoma
9709/3	Related	RT	Related term	Primary cutaneous CD4-positive small/medium T-cell lymphoma	C1709654	C45366	Primary Cutaneous CD4-Positive Small/Medium-Sized T-Cell Lymphoma
9709/3	Related	RT	Related term	Primary cutaneous CD8-positive aggressive epidermotropic cytotoxic T-cell lymphoma	CL497930		
9709/3	Synonym	IS	Inactive (obsolete) synonym	Cutaneous lymphoma, NOS	C1302772	C7162	Cutaneous Lymphoma
9712/3	4	PT	Preferred term	Intravascular large B-cell lymphoma	C0334660	C4342	Intravascular Large B-Cell Lymphoma
9714/3	4	PT	Preferred term	Anaplastic large cell lymphoma, T cell and Null cell type	C3838707		
9714/3	Related	RT	Related term	Anaplastic large cell lymphoma, ALK positive	C1332079	C37193	Anaplastic Large Cell Lymphoma, ALK-Positive
9714/3	Related	RT	Related term	Anaplastic large cell lymphoma, NOS	C0206180	C3720	Anaplastic Large Cell Lymphoma
9714/3	Synonym	IS	Inactive (obsolete) synonym	Large cell (Ki-1+) lymphoma	C0206180	C3720	Anaplastic Large Cell Lymphoma
9714/3	Synonym	SY	Synonym	Anaplastic large cell lymphoma, CD30+	C0206180	C3720	Anaplastic Large Cell Lymphoma
9716/3	4	PT	Preferred term	Hepatosplenic T-cell lymphoma	C0522627	C8459	Hepatosplenic T-Cell Lymphoma
9716/3	Synonym	SY	Synonym	Hepatosplenic gamma-delta cell lymphoma	C0522627	C8459	Hepatosplenic T-Cell Lymphoma
9717/3	4	PT	Preferred term	Intestinal T-cell lymphoma	C0456889	C4737	Enteropathy-Associated T-Cell Lymphoma
9717/3	Synonym	SY	Synonym	Enteropathy associated T-cell lymphoma	C0456889	C4737	Enteropathy-Associated T-Cell Lymphoma
9717/3	Synonym	SY	Synonym	Enteropathy type intestinal T-cell lymphoma	C0456889	C4737	Enteropathy-Associated T-Cell Lymphoma
9718/3	4	PT	Preferred term	Primary cutaneous CD30+ T-cell lymphoproliferative disorder	C1371159	C7195	Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder
9718/3	Synonym	SY	Synonym	Lymphomatoid papulosis	C0206182	C3721	Lymphomatoid Papulosis
9718/3	Synonym	SY	Synonym	Primary cutaneous CD30+ large T-cell lymphoma	C1301362	C6860	Primary Cutaneous Anaplastic Large Cell Lymphoma
9718/3	Synonym	SY	Synonym	Primary cutaneous anaplastic large cell lymphoma	C1301362	C6860	Primary Cutaneous Anaplastic Large Cell Lymphoma
9719/3	4	PT	Preferred term	NK/T-cell lymphoma, nasal and nasal-type	C0392788	C4684	Nasal Type Extranodal NK/T-Cell Lymphoma
9719/3	Synonym	IS	Inactive (obsolete) synonym	Angiocentric T-cell lymphoma	C1879280	C68692	Childhood Nasal Type Extranodal NK/T-Cell Lymphoma
9719/3	Synonym	IS	Inactive (obsolete) synonym	Malignant midline reticulosis	C2350168		
9719/3	Synonym	IS	Inactive (obsolete) synonym	Malignant reticulosis, NOS	C0392788	C4684	Nasal Type Extranodal NK/T-Cell Lymphoma
9719/3	Synonym	IS	Inactive (obsolete) synonym	Polymorphic reticulosis	C2350168		
9719/3	Synonym	SY	Synonym	Extranodal NK/T-cell lymphoma, nasal type	C0392788	C4684	Nasal Type Extranodal NK/T-Cell Lymphoma
9719/3	Synonym	SY	Synonym	T/NK-cell lymphoma	C0392788	C4684	Nasal Type Extranodal NK/T-Cell Lymphoma
972	3	HT	Hierarchical term	Precursor cell lymphoblastic lymphoma	C0079748	C9360	Lymphoblastic Lymphoma
9724/3	4	PT	Preferred term	Systemic EBV positive T-cell lymphoproliferative disease of childhood	C2699747	C80374	Systemic EBV-Positive T-Cell Lymphoproliferative Disease of Childhood
9725/3	4	PT	Preferred term	Hydroa vacciniforme-like lymphoma	C1708397	C45327	Hydroa Vacciniforme-Like Lymphoma
9726/3	4	PT	Preferred term	Primary cutaneous gamma-delta T-cell lymphoma	C1707547	C45340	Primary Cutaneous Gamma-Delta T-Cell Lymphoma
9727/3	4	PT	Preferred term	Precursor cell lymphoblastic lymphoma, NOS	C0079748	C9360	Lymphoblastic Lymphoma
9727/3	Related	ORT	Obsolete related term	Blastic NK cell lymphoma	C1301363	C7203	Blastic Plasmacytoid Dendritic Cell Neoplasm
9727/3	Related	RT	Related term	Blastic plasmacytoid dendritic cell neoplasm	C1301363	C7203	Blastic Plasmacytoid Dendritic Cell Neoplasm
9727/3	Synonym	IS	Inactive (obsolete) synonym	Lymphoblastoma	C0079748	C9360	Lymphoblastic Lymphoma
9727/3	Synonym	IS	Inactive (obsolete) synonym	Malignant lymphoma, convoluted cell	C1518186	C27821	Malignant Lymphoma, Convoluted
9727/3	Synonym	SY	Synonym	Malignant lymphoma, lymphoblastic, NOS	C0079748	C9360	Lymphoblastic Lymphoma
9728/3	4	PT	Preferred term	Precursor B-cell lymphoblastic lymphoma	C1292757		
9729/3	4	PT	Preferred term	Precursor T-cell lymphoblastic lymphoma	C1292758	C6919	T Lymphoblastic Lymphoma
973	2	HT	Hierarchical term	Plasma cell tumors	C0032131	C9349	Plasmacytoma
9731/3	4	PT	Preferred term	Plasmacytoma, NOS	C0032131	C9349	Plasmacytoma
9731/3	Synonym	SY	Synonym	Plasma cell tumor	C1136084	C4665	Plasma Cell Neoplasm
9731/3	Synonym	SY	Synonym	Plasmacytoma of bone	C0272256	C7812	Solitary Osseous Plasmacytoma
9731/3	Synonym	SY	Synonym	Solitary myeloma	CL018710	C6932	Solitary Plasmacytoma
9731/3	Synonym	SY	Synonym	Solitary plasmacytoma	CL018710	C6932	Solitary Plasmacytoma
9732/3	4	PT	Preferred term	Multiple myeloma	C0026764	C3242	Plasma Cell Myeloma
9732/3	Synonym	SY	Synonym	Myeloma, NOS	C0026764	C3242	Plasma Cell Myeloma
9732/3	Synonym	SY	Synonym	Myelomatosis	C0026764	C3242	Plasma Cell Myeloma
9732/3	Synonym	SY	Synonym	Plasma cell myeloma	C0026764	C3242	Plasma Cell Myeloma
9733/3	4	PT	Preferred term	Plasma cell leukemia	C0023484	C3180	Plasma Cell Leukemia
9733/3	Synonym	SY	Synonym	Plasmacytic leukemia	C0023484	C3180	Plasma Cell Leukemia
9734/3	4	PT	Preferred term	Plasmacytoma, extramedullary	C0278619	C4002	Extraosseous Plasmacytoma
9734/3	Synonym	SY	Synonym	Extraosseous plasmacytoma	C0278619	C4002	Extraosseous Plasmacytoma
9735/3	4	PT	Preferred term	Plasmablastic lymphoma	C3472614	C7224	Plasmablastic Lymphoma
9737/3	4	PT	Preferred term	ALK positive large B-cell lymphoma	C1333294	C7225	ALK-Positive Large B-Cell Lymphoma
9738/3	4	PT	Preferred term	Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease	C3472615		
974	2	HT	Hierarchical term	Mast cell tumors	C0334664	C9295	Mast Cell Neoplasm
9740/1	4	PT	Preferred term	Mastocytoma, NOS	C0024897	C9303	Mastocytoma
9740/1	Related	RT	Related term	Cutaneous mastocytosis	C1136033	C7137	Cutaneous Mastocytosis
9740/1	Related	RT	Related term	Diffuse cutaneous mastocytosis	C0024901	C3218	Diffuse Cutaneous Mastocytosis
9740/1	Related	RT	Related term	Urticaria pigmentosa	C0042111	C3433	Urticaria Pigmentosa/Maculopapular Cutaneous Mastocytosis
9740/1	Synonym	SY	Synonym	Extracutaneous mastocytoma	C0272202	C7136	Extracutaneous Mastocytoma
9740/1	Synonym	SY	Synonym	Mast cell tumor, NOS	C0334664	C9295	Mast Cell Neoplasm
9740/1	Synonym	SY	Synonym	Solitary mastocytoma of skin	C0343115	C7138	Solitary Mastocytoma of the Skin
9740/3	4	PT	Preferred term	Mast cell sarcoma	C0036221	C9348	Mast Cell Sarcoma
9740/3	Synonym	SY	Synonym	Malignant mast cell tumor	C0036221	C9348	Mast Cell Sarcoma
9740/3	Synonym	SY	Synonym	Malignant mastocytoma	C0036221	C9348	Mast Cell Sarcoma
9741/1	4	PT	Preferred term	Indolent systemic mastocytosis	C0272203	C9286	Indolent Systemic Mastocytosis
